antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Speed_Fast', 'Cheap'})","frozenset({'Low', 'On_time_delivery', 'Positive_review'})",0.040343620744511616,0.25436116540157266,0.03164401618108268,0.7843623253717891,3.083655966638921,1.0,0.021382165791989642,3.457831920530637,0.7041162058885656,0.12029165802750709,0.7108014435107244,0.45438408609821
"frozenset({'On_time_delivery', 'Cheap', 'Speed_Fast'})","frozenset({'Low', 'Positive_review'})",0.0401436298350075,0.26336075632925776,0.03164401618108268,0.7882699275362319,2.9931184073253667,1.0,0.02107175946593335,3.4791432086096243,0.6937499275789267,0.11639804721460577,0.7125729123407852,0.45421228246612433
"frozenset({'Speed_Fast', 'Cheap'})","frozenset({'Low', 'Positive_review'})",0.040343620744511616,0.26336075632925776,0.03179855461115404,0.7881928796755294,2.992825850978793,1.0,0.021173628138818724,3.4778776206497373,0.6938604719193313,0.11694694259636922,0.7124683185910433,0.45446715538089405
"frozenset({'Speed_Fast', 'Cheap', 'Positive_review'})","frozenset({'Low', 'On_time_delivery'})",0.03431662197172856,0.3139766374255716,0.03164401618108268,0.9221192052980133,2.9369038819539637,1.0,0.020869398606594862,8.80863331196758,0.6829416196037159,0.09993397066000632,0.8864750109825346,0.5114519127911648
"frozenset({'Speed_Fast', 'Cheap'})","frozenset({'Low', 'On_time_delivery'})",0.040343620744511616,0.3139766374255716,0.03689832280350893,0.9146011716989634,2.9129593182415374,1.0,0.02423136842057464,8.033170667824034,0.6843142129813616,0.11624377112091185,0.8755161515483061,0.5160602488391456
"frozenset({'High', 'Positive_review'})","frozenset({'On_time_delivery', 'Speed_Slow'})",0.24965228853233945,0.5732739420935412,0.18425526112449434,0.7380475548920366,1.2874256105148578,1.0,0.04113610952488592,1.629021090948718,0.2975368466713624,0.2884979432654397,0.3861344057751796,0.5297281524361075
"frozenset({'High', 'Medium', 'Positive_review'})","frozenset({'On_time_delivery', 'Speed_Slow'})",0.07261488114176629,0.5732739420935412,0.0535793827553293,0.7378567851777666,1.287092838169453,1.0,0.011951163588535,1.6278356019850968,0.2405206463074467,0.09045843117393372,0.38568735148651995,0.41565943931993005
"frozenset({'High', 'Positive_review', 'Expensive'})","frozenset({'On_time_delivery', 'Speed_Slow'})",0.14231171310394983,0.5732739420935412,0.10390436798327349,0.7301181731076333,1.2735938606267574,1.0,0.02232077120608711,1.5811589198877185,0.25046434577235877,0.16986684104149327,0.36755250378563326,0.4556827486060501
"frozenset({'Cheap', 'High'})","frozenset({'On_time_delivery', 'Speed_Slow'})",0.04784327985091587,0.5732739420935412,0.03473478478250989,0.7260117803534106,1.2664308056669829,1.0,0.007307479139690858,1.5574613333992322,0.22095026919524316,0.059235718161382844,0.35792948527495494,0.3933009919003785
"frozenset({'Cheap', 'Medium', 'Positive_review'})","frozenset({'On_time_delivery', 'Speed_Slow'})",0.09581382664424344,0.5732739420935412,0.06795145675196582,0.709203036053131,1.2371101910950109,1.0,0.013023886644553208,1.467436427515196,0.2119746731972575,0.11303834986692474,0.3185394738405835,0.4138676487212676
