antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,num_groups
"frozenset({'Late_delivery', 'Medium'})","frozenset({'Negative_review', 'Speed_Slow'})",0.05137948275078406,0.17431025862460797,0.03364392527612381,0.6548124557678697,3.7565916139110564,1.0,0.024687954349836054,2.3920032897251233,0.7735456217701077,0.17518697339770897,0.5819403742898217,0.4239120948982764,3
"frozenset({'Late_delivery', 'Speed_Slow', 'Medium'})",frozenset({'Negative_review'}),0.049461388118721875,0.2319530930412254,0.03364392527612381,0.6802058445138761,2.932514654559842,1.0,0.02217120331587375,2.4016915061854553,0.6932866569084472,0.13578661579101847,0.5836267907745262,0.41262604500345,3
"frozenset({'Late_delivery', 'Medium'})",frozenset({'Negative_review'}),0.05137948275078406,0.2319530930412254,0.03408026907867824,0.6633050247699929,2.8596515617582328,1.0,0.02216263913577559,2.2811356374834433,0.685529181468474,0.1367300047412378,0.5616218590564815,0.40511622143030135,3
"frozenset({'Light', 'On_time_delivery', 'Cheap', 'State_SP'})","frozenset({'Low', 'Positive_review'})",0.0942775328394164,0.26336075632925776,0.06691514022089905,0.7097676212515668,2.6950394247964726,1.0,0.04208613786745391,2.5381015269466,0.6944157144833557,0.2301679121978675,0.6060047285803317,0.4819246445631691,4
"frozenset({'Light', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'On_time_delivery', 'Positive_review'})",0.06400618153720286,0.25436116540157266,0.043807099677287395,0.6844198267291577,2.6907402537200595,1.0,0.02752641274857985,2.362755641047491,0.6713239421682036,0.15955368671986225,0.576765374028833,0.42832191793911156,3
"frozenset({'Cheap', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'On_time_delivery', 'Positive_review'})",0.0648061451752193,0.25436116540157266,0.043770737693741193,0.6754102959741899,2.655320024611013,1.0,0.027286571081788905,2.297173401837592,0.6665971518928695,0.15893711833635912,0.5646824052550566,0.42374567548789904,3
"frozenset({'Light', 'Cheap', 'State_SP'})","frozenset({'Low', 'On_time_delivery', 'Positive_review'})",0.09925912458524612,0.25436116540157266,0.06691514022089905,0.6741459840644748,2.650349486330458,1.0,0.04166747361465595,2.288260380826371,0.6913101054053831,0.2333935762072355,0.5629867962670992,0.4686086769612964,3
"frozenset({'Light', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'Positive_review'})",0.06400618153720286,0.26336075632925776,0.044561610835871096,0.6962079250106518,2.643552269193219,1.0,0.027704894456485576,2.4248138918586695,0.6642363491759095,0.15756991321118607,0.5875972158698416,0.43270580572785877,3
"frozenset({'Light', 'On_time_delivery', 'State_SP', 'Speed_Normal'})","frozenset({'Low', 'Positive_review'})",0.06298804599790919,0.26336075632925776,0.043807099677287395,0.6954827536441044,2.6407987406240623,1.0,0.027218520243575954,2.419039487864726,0.6630936642860225,0.15504649142562982,0.5866127837033801,0.43091075309487675,3
"frozenset({'Light', 'Cheap', 'State_SP'})","frozenset({'Low', 'Positive_review'})",0.09925912458524612,0.26336075632925776,0.06899686377891914,0.6951186006044511,2.639416024972995,1.0,0.042855905655568696,2.4161501657076716,0.6895749163161573,0.23498452012383905,0.5861184399078491,0.47855236232977033,3
