antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'unknown'}),frozenset({'fashion_bags_accessories'}),0.07480314960629922,0.02230971128608924,0.010498687664041995,0.14035087719298245,6.291021671826625,1.0,0.008829850993035319,1.1373131929937328,0.9090425531914894,0.12121212121212119,0.12073472271282232,0.30546955624355004,unknown,fashion_bags_accessories
frozenset({'fashion_bags_accessories'}),frozenset({'unknown'}),0.02230971128608924,0.07480314960629922,0.010498687664041995,0.47058823529411764,6.291021671826625,1.0,0.008829850993035319,1.7475940507436571,0.8602348993288591,0.12121212121212119,0.42778473091364205,0.30546955624355004,fashion_bags_accessories,unknown
frozenset({'health_beauty'}),frozenset({'perfumery'}),0.09448818897637795,0.03674540682414698,0.015748031496062992,0.16666666666666666,4.535714285714286,1.0,0.012276024552049104,1.1559055118110235,0.8608695652173914,0.13636363636363635,0.13487738419618528,0.2976190476190476,health_beauty,perfumery
frozenset({'perfumery'}),frozenset({'health_beauty'}),0.03674540682414698,0.09448818897637795,0.015748031496062992,0.42857142857142855,4.535714285714286,1.0,0.012276024552049104,1.5846456692913387,0.8092643051771117,0.13636363636363635,0.368944099378882,0.2976190476190476,perfumery,health_beauty
frozenset({'bed_bath_table'}),frozenset({'home_confort'}),0.2585301837270341,0.06299212598425197,0.05380577427821522,0.2081218274111675,3.3039340101522843,1.0,0.03752040837415008,1.1832727639814253,0.9404705374487373,0.20098039215686272,0.15488632001023758,0.531144247038917,bed_bath_table,home_confort
frozenset({'home_confort'}),frozenset({'bed_bath_table'}),0.06299212598425197,0.2585301837270341,0.05380577427821522,0.8541666666666666,3.3039340101522843,1.0,0.03752040837415008,5.084364454443193,0.7442098790735806,0.20098039215686272,0.8033185840707966,0.531144247038917,home_confort,bed_bath_table
frozenset({'baby'}),frozenset({'toys'}),0.11811023622047244,0.06430446194225722,0.024934383202099737,0.2111111111111111,3.2829931972789113,1.0,0.017339368012069357,1.186092935566153,0.7885338345864662,0.15833333333333333,0.15689574567554931,0.29943310657596367,baby,toys
frozenset({'toys'}),frozenset({'baby'}),0.06430446194225722,0.11811023622047244,0.024934383202099737,0.38775510204081626,3.282993197278911,1.0,0.017339368012069357,1.4404199475065615,0.7431903742526021,0.15833333333333333,0.3057580174927113,0.29943310657596367,toys,baby
frozenset({'baby'}),frozenset({'cool_stuff'}),0.11811023622047244,0.08398950131233596,0.023622047244094488,0.2,2.38125,1.0,0.013702027404054807,1.14501312335958,0.6577380952380951,0.1323529411764706,0.12664756446991404,0.240625,baby,cool_stuff
frozenset({'cool_stuff'}),frozenset({'baby'}),0.08398950131233596,0.11811023622047244,0.023622047244094488,0.28125,2.38125,1.0,0.013702027404054807,1.2269770626497774,0.6332378223495702,0.1323529411764706,0.18498883928571427,0.240625,cool_stuff,baby
